,Movie,Tags
2780,Le dernier métro,le dernier m tro drama romance war franoistruffaut catherinedeneuve g rarddepardieu jeanpoiret occupy Paris   actress marry jewish theater owner must keep hide Nazis job
2781,Sur mes lèvres,sur mes l vres crime drama romance jacquesaudiard vincentcassel emmanuelledevos oliviergourmet almost deaf lipread   exconvict   want help   think one help except
2782,Viva Zapata!,viva zapata  biography drama history eliakazan marlonbrando jeanpeters anthonyquinn story Mexican revolutionary Emiliano Zapata   lead rebellion corrupt   oppressive dictatorship President Porfirio Daz early th century
2783,Holiday Inn,holiday inn comedy drama music marksandrich robertallen bingcrosby fredastaire inn open holiday   crooner hoofer vie affection beautiful upandcoming performer
2784,Polisse,polisse crime drama mawenn karinviard joeystarr marinafo s journalist cover police assign juvenile division enter affair one subject
2785,My Favorite Wife,my favorite wife comedy romance garsonkanin irenedunne carygrant randolphscott miss seven year presume dead   woman return home day husband s second marriage
2786,Shaun the Sheep Movie,shaun the sheep movie animation adventure comedy markburton richardstarzak justinfletcher johnsparkes Shaun decide take day fun   get little action bargain   mix Farmer   caravan steep hill lead Big City s shaun flock return everyone safely green grass home
2787,Shock Corridor,shock corridor drama mystery samuelfuller peterbreck constancetowers geneevans bent win Pulitzer Prize   journalist commit mental institution solve strange unclear murder
2788,Hilary and Jackie,hilary and jackie biography drama music anandtucker emilywatson rachelgriffiths jamesfrain tragic story world renowne classic cellist Jacqueline du Pr   tell point view sister   flautist Hilary du PrFinzi
2789,Theri,theri action crime thriller atlee josephvijay samantharuthprabhu amyjackson daughter s life endanger local gang   Joseph Kuruvilla whatever take stop   however   time   dangerous past slowly resurface
2790,Une femme est une femme,une femme est une femme comedy drama romance jeanlucgodard annakarina jean claudebrialy jean paulbelmondo french striptease artist desperate become mother   reluctant boyfriend suggest good friend impregnate   feeling become complicated accept
2791,I Kina spiser de hunde,i kina spiser de hunde action comedy crime lassespangolsen kimbodnia dejancukic nikolajliekaas two brother   one cold ruthless   sensitive reluctant   brutal misadventure
2792,The Spiral Staircase,the spiral staircase drama horror mystery robertsiodmak dorothymcguire georgebrent ethelbarrymore    shadowy serial killer target woman   affliction    one night thunderstorm   mute Helen feels menace
2793,Talk to Me,talk to me biography drama history kasilemmons doncheadle chiwetelejiofor brucemcfee story Washington DC radio personality Ralph   Petey   Greene   excon become popular talk show host community activist s
2794,"Je vais bien, ne t'en fais pas",je vais bien  ne t en fais pas drama philippelioret m lanielaurent kadmerad isabellerenauld lili return holiday learn twin brother leave house violent argument father
2795,Umi yori mo mada fukaku,umi yori mo mada fukaku comedy drama koreedahirokazu hiroshiabe y komaki satomikobayashi death father   private detective struggle find child support money reconnect son exwife
2796,Rang zi dan fei,rang zi dan fei action comedy drama wenjiang chowyun fat wenjiang youge s China   bandit arrive remote provincial town pose new mayor   face tyrannical local nobleman
2797,Truman,truman adventure comedy drama cescgay ricardodar n javierc mara doloresfonzi Julin receive unexpected visit friend Toms   live Canada   two man   accompany Julin s faithful dog   Truman   share emotional surprising moment prompt Julin s complicated situation
2798,Monsieur Ibrahim et les fleurs du Coran,monsieur ibrahim et les fleurs du coran comedy drama franoisdupeyron omarsharif pierreboulanger gilbertmelki Paris   turkish shop owner befriend jewish boy midteen
2799,W ciemnosci,w ciemnosci drama war agnieszkaholland robertwieckiewicz bennof rmann agnieszkagrochowska dramatization one man s rescue jewish refugee Germanoccupied polish city Lvov
2800,Raman Raghav 2.0,raman raghav     crime drama thriller anuragkashyap nawazuddinsiddiqui vickykaushal sobhitadhulipala Ramanna   maniac murderer   find soulmate Raghavan   policeman   inspect murder case   try make Raghavan realize similar
2801,Üç Maymun,   maymun drama nuribilgeceylan yavuzbing l haticeaslan ahmetrifatsungar family suffer major communication breakdown struggle get hardship
2802,Wong Fei Hung II: Nam yee tung chi keung,wong fei hung ii  nam yee tung chi keung action adventure biography harktsui jetli rosamundkwan siuchungmok arrive train Guangzhou     trio fight White Lotus follower   want kill foreigner cute   european dressed th Aunt   s kung fu master Dr Wong s   jet Li   last fight
2803,Elena,elena crime drama thriller andreyzvyagintsev nadezhdamarkina andreysmirnov alekseyrozin sudden illness unexpected reunion threaten dutiful housewife Elena s potential inheritance   must hatch desperate plan
2804,La chèvre,la ch vre adventure comedy crime francisveber pierrerichard g rarddepardieu pedroarmend rizjr  daughter millionaire   distinguish incredible bad luck   go miss   idea find either insane brilliant   send equally unlucky person
2805,Maine Pyar Kiya,maine pyar kiya drama musical romance soorajrbarjatya salmankhan bhagyashreepatwardhan aloknath Suman s father leave care another family travel abroad   fall love Prem   however   order marry   Prem prove Suman s father dad
2806,Mardaani,mardaani action crime drama pradeepsarkar ranimukerji jisshusengupta anantvidhaat story Shivani Shivaji Roy   Crime Branch   set confront mastermind behind child trafficking mafia
2807,Oh Boy,oh boy comedy drama janolegerster tomschilling katharinasch ttler justusvondohn nyi aimless university dropout attempt make sense life spend one fateful day wander street Berlin
2808,La stanza del figlio,la stanza del figlio drama nannimoretti nannimoretti lauramorante jasminetrinca psychoanalyst family go profound emotional trauma son die scubadive accident
2809,Ishqiya,ishqiya comedy drama romance abhishekchaubey vidyabalan naseeruddinshah arshadwarsi run goon   man nephew fall kidnapper s seductive widow
2810,The Man in the White Suit,the man in the white suit comedy drama sci fi alexandermackendrick alecguinness joangreenwood cecilparker altruistic chemist invent fabric resist wear stain boon humanity   big business labor realize must suppress economic reason
2811,Easter Parade,easter parade musical romance charleswalters judygarland fredastaire peterlawford nightclub performer hire naive chorus girl become new dance partner make former partner jealous prove make partner star
2812,Im Labyrinth des Schweigens,im labyrinth des schweigens drama history giulioricciarelli andr szymanski alexanderfehling friederikebecht story expose conspiracy prominent german institution government branch cover crime Nazis World War II
2813,Bala,bala comedy amarkaushik ayushmannkhurrana bhumipednekar yamigautam tell story man bald prematurely cope situation
2814,Kelebekler,kelebekler comedy drama tolgakaraelik tolgatekin bartuk   k aglayan tugcealtug turkish village   three sibling neither know anything late father   wait bury body   start find father   also start learn
2815,Pyaar Ka Punchnama 2,pyaar ka punchnama   comedy drama romance luvranjan kartikaaryan omkarkapoor sunnysingh fall love   three roommate experience change live
2816,The Selfish Giant,the selfish giant drama cliobarnard connerchapman shaunthomas seangilder two thirteen yearold workingclass friend Bradford seek fortune getting involve local scrap dealer criminal
2817,Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono,gekij  ban hagane no renkinjutsushi  shanbara wo yuku mono animation action adventure seijimizushima vicmignogna aarondismuke jasonliebrecht Edward Elric   alchemist alternate world   race prevent Thule Society harness alchemy wage war home
2818,Shanghai,shanghai crime drama mystery dibakarbanerjee abhaydeol emraanhashmi kalkikoechlin prime leader campaign big government project kill appear road accident   IAS officer order probe incident veil falsehood begin drop
2819,Christmas in Connecticut,christmas in connecticut comedy romance petergodfrey barbarastanwyck dennismorgan sydneygreenstreet food writer lie perfect housewife must try cover deception boss return war hero invite home traditional family Christmas
2820,13 Tzameti,   tzameti crime drama thriller glababluani georgebabluani aur lienrecoing pascalbongard man take dead man s task without realize horror entail
2821,Mohammad Rasoolollah,mohammad rasoolollah biography drama history majidmajidi mahdipakdel sarehbayat minasadati event   trial tribulation city Makkah th century ad
2822,A.R.O.G,a r o g comedy fantasy sci fi alitanerbaltaci cemyilmaz cemyilmaz  zge zberk Commander Logar fool Arif send   year back time   must civilize people past reach today
2823,Un cuento chino,un cuento chino comedy drama sebastinborensztein ricardodar n ignaciohuang carolinahsu wellordere hardware store owner Buenos Aires see life turn upside help strand chinese man not speak word Spanish find uncle bustle city   coexistence bear fruit
2824,De helaasheid der dingen,de helaasheid der dingen comedy drama felixvangroeningen kennethvanbaeden valentijndhaenens koendegraeve thirtysomething novelist impend father look back alltooformative year hapless   alcoholridden milieu youth s rural Flanders   Belgium
2825,Taxi,taxi comedy drama jafarpanahi nan ban make movie iranian government   Jafar Panahi pose taxi driver make movie social challenge Iran
2826,Ben X,ben x drama thriller nicbalthazar marijkepinoy gregtimmermans cesardesutter alternative getting bully school   autistic teenager retreat world online roleplay game
2827,Lammbock,lammbock comedy crime christianzbert lucasgregorowicz moritzbleibtreu mariezielcke Stefan Kai good go business   selfgrown cannabis screen pizza deliver service   deal aphid
2828,Gunda,gunda action comedy crime kantishah mithunchakraborty mukeshrishi mohanjoshi coolie s family murder group gangster politician   swear revenge
2829,Gold,gold drama history sport reemakagti akshaykumar mouniroy kunalkapoor journey man instrumental make India win first Olympic gold medal free nation
2830,Pek Yakinda,pek yakinda comedy drama romance cemyilmaz cemyilmaz t lin zen zaferalg z pirated dvd seller Zafer formerly extra movie   swore give illegal work wife want get divorce   win family back   oldfashioned crew   see full summary
2831,Race Gurram,race gurram action comedy surenderreddy alluarjun shrutihaasan shaam two brother two different approach life   one brother follow rule regulation   thing way
2832,Taxi No. 9 2 11: Nau Do Gyarah,taxi no          nau do gyarah comedy drama thriller milanluthria johnabraham nanapatekar sonalikulkarni cabbie   Patekar   businessman   Abraham   need big money partake twohour adventure together
2833,Mulk,mulk drama anubhavsinha taapseepannu rishikapoor ashutoshrana one family member try help family trap dark controversy
2834,Parada,parada comedy drama history srdjandragojevic nikolakojo milossamolov hristinapopovic homophobic serbian gangster force make deal wedding planner gay activist   assemble team protect upcoming Pride Parade Belgrade   exchange fiance get dream wedding
2835,Jerusalema,jerusalema action crime drama ralphziman rapulanaseiphemo jeffreysekele ronnienyakale young hoodlum s rise smalltime criminal powerful crime entrepreneur turbulent year fall apartheid
2836,Yennai Arindhaal,yennai arindhaal action crime drama gauthamvasudevmenon ajithkumar arunvijay trishakrishnan sathyadev   sincere police officer   try stop organ trafficking racket   unaware man perform illegal trade person kill beloved
2837,The Flash,the flash action adventure fantasy andymuschietti ezramiller michaelkeaton sashacalle Barry Allen use super speed change past   attempt save family create world without super hero   force race life order save future
2838,The Little Mermaid,the little mermaid adventure family fantasy robmarshall hallebailey jonahhauer king melissamccarthy young mermaid make deal sea witch trade beautiful voice human leg discover world water impress prince
2839,Babylon,babylon comedy drama history damienchazelle bradpitt margotrobbie jeansmart tale outsize ambition outrageous excess   trace rise fall multiple character era unbridle decadence depravity early Hollywood
2840,The Menu,the menu comedy horror thriller markmylod ralphfiennes anyataylor joy nicholashoult young couple travel remote island eat exclusive restaurant chef prepare lavish menu   shocking surprise
2841,The Patriot,the patriot action drama history rolandemmerich melgibson heathledger joelyrichardson peaceful farmer Benjamin Martin drive lead Colonial Militia American Revolution sadistic british officer murder son
2842,The Hunger Games,the hunger games action adventure sci fi garyross jenniferlawrence joshhutcherson liamhemsworth Katniss Everdeen voluntarily take young sister s place Hunger Games   televise competition two teenager twelve Districts Panem choose random fight death
2843,Where the Crawdads Sing,where the crawdads sing drama mystery romance olivianewman daisyedgar jones taylorjohnsmith harrisdickinson woman raise marsh Deep South become suspect murder man involve
2844,The Passion of the Christ,the passion of the christ drama melgibson jimcaviezel monicabellucci maiamorgenstern depict final twelve hour life Jesus Nazareth   day crucifixion Jerusalem
2845,The Suicide Squad,the suicide squad action adventure comedy jamesgunn margotrobbie idriselba johncena Supervillains Harley Quinn   Bloodsport   Peacemaker   collection nutty con Belle Reve prison join supersecret   supershady Task Force X drop remote   enemyinfuse island Corto Maltese
2846,Don't Look Up,don t look up comedy drama sci fi adammckay leonardodicaprio jenniferlawrence merylstreep two lowlevel astronomer must go giant medium tour warn humankind approach comet destroy planet Earth
2847,Born on the Fourth of July,born on the fourth of july biography drama war oliverstone tomcruise bryanlarkin raymondj barry biography Ron Kovic   paralyzed Vietnam war   become antiwar prohuman right political activist feeling betray country fight
2848,Cars,cars animation adventure comedy johnlasseter joeranft owenwilson bonniehunt way big race life   hotshot rookie race car gets strand rundown town learn win not everything life
2849,Encanto,encanto animation comedy family jaredbush byronhoward charisecastrosmith stephaniebeatriz colombian teenage girl face frustration member family without magical power
2850,Clue,clue comedy crime mystery jonathanlynn eileenbrennan timcurry madelinekahn six guest anonymously invite strange mansion dinner   host kill   must cooperate staff identify murderer body pile
2851,A Room with a View,a room with a view drama romance jamesivory maggiesmith helenabonhamcarter denholmelliott Lucy Honeychurch   Helena BonhamCarter   share brief romance George Emerson Florence   yet try move life look marriage elsewhere   truly forget event summer
2852,The Equalizer,the equalizer action crime thriller antoinefuqua denzelwashington martoncsokas chlo gracemoretz man believe put mysterious past behind stand idly meet young girl control ultraviolent russian gangster
2853,School of Rock,school of rock comedy music richardlinklater jackblack mikewhite joancusack kick rock band   Dewey Finn become substitute teacher uptight elementary private school   try turn class rock band
2854,Grease,grease comedy musical romance randalkleiser johntravolta olivianewton john stockardchanning good girl Sandy Olsson greas Danny Zuko fall love summer   unexpectedly discover re high school   able rekindle romance
2855,American Hustle,american hustle crime drama davidorussell christianbale amyadams bradleycooper con man   Irving Rosenfeld   along seductive partner Sydney Prosser   force work wild FBI   Agent   Richie DiMaso   push world Jersey powerbroker Mafia
2856,Unbroken,unbroken action biography drama angelinajolie jacko connell miyavi domhnallgleeson nearfatal plane crash WWII   Olympian Louis Zamperini spend harrowing   day raft two fellow crewman s catch japanese navy send prisonerofwar camp
2857,The Full Monty,the full monty comedy drama petercattaneo robertcarlyle tomwilkinson markaddy six unemployed steel worker form male striptease act   woman cheer go   full monty    total nudity
2858,The Descent,the descent adventure horror thriller neilmarshall shaunamacdonald nataliemendoza alexreid cave expedition go horribly wrong   explorer become trap ultimately pursue strange breed predator
2859,Licorice Pizza,licorice pizza comedy drama romance paulthomasanderson alanahaim cooperhoffman seanpenn story Alana Kane Gary Valentine grow   run around go treacherous navigation first love San Fernando Valley   
2860,From Dusk Till Dawn,from dusk till dawn action crime horror robertrodriguez harveykeitel georgeclooney juliettelewis two criminal hostage unknowingly seek temporary refuge truck stop populate vampire   chaotic result
2861,The Age of Adaline,the age of adaline drama fantasy romance leetolandkrieger blakelively michielhuisman harrisonford young woman   bear turn th century   render ageless accident   many solitary year   meet man complicate eternal life settle
2862,Big Trouble in Little China,big trouble in little china action adventure comedy johncarpenter kurtrussell kimcattrall dennisdun roughandtumble trucker side kick face ancient sorcerer supernatural battle beneath Chinatown
2863,A.I. Artificial Intelligence,a i  artificial intelligence drama sci fi stevenspielberg haleyjoelosment judelaw franceso connor highly advanced robotic boy long become   real   regain love human mother
2864,Kingdom of Heaven,kingdom of heaven action adventure drama ridleyscott orlandobloom evagreen liamneeson balian Ibelin travel Jerusalem Crusades th century   find defender city people
2865,The Man from U.N.C.L.E.,the man from u n c l e  action adventure comedy guyritchie henrycavill armiehammer aliciavikander early s   CIA agent Napoleon Solo KGB operative Illya Kuryakin participate joint mission mysterious criminal organization   work proliferate nuclear weapon
2866,A Quiet Place Part II,a quiet place part ii drama horror sci fi johnkrasinski emilyblunt millicentsimmonds cillianmurphy follow event home   Abbott family face terror outside world   force venture unknown   realize creature hunt sound threat lurk beyond sand path
2867,The Lost Boys,the lost boys comedy horror joelschumacher jasonpatric coreyhaim diannewiest move new town   two brother discover area vampire
2868,Point Break,point break action crime thriller kathrynbigelow patrickswayze keanureeves garybusey FBI   Agent go undercover catch gang surfer may bank robber
2869,Meet Joe Black,meet joe black drama fantasy romance martinbrest bradpitt anthonyhopkins claireforlani death   take form young man kill accident   ask media mogul act guide teach life Earth   process   fall love mogul s daughter
2870,Old Henry,old henry action drama western potsyponciroli timblakenelson scotthaze gavinlewis action western farmer take injure man satchel cash   posse come money   must decide trust   defend siege   reveal gunslinge talent call true identity question
2871,The Great Gatsby,the great gatsby drama romance bazluhrmann leonardodicaprio careymulligan joeledgerton writer wall street trader   Nick   find draw past lifestyle millionaire neighbor   Jay Gatsby
2872,The Road,the road drama thriller johnhillcoat viggomortensen charlizetheron kodismit mcphee dangerous postapocalyptic world   ail father defend son slowly travel sea
2873,Team America: World Police,team america  world police action comedy treyparker treyparker mattstone elleruss popular Broadway actor Gary Johnston recruit elite counterterrorism organization Team America   World Police   world begin crumble around   must battle terrorist   celebrity fall love
2874,21 Jump Street,   jump street action comedy crime phillord christophermiller jonahhill channingtatum pair underachieve cop send back local high school blend bring synthetic drug ring
2875,Now You See Me,now you see me crime mystery thriller louisleterrier jesseeisenberg common markruffalo FBI   Agent Interpol Detective track team illusionist pull bank heist performance   reward audience money
2876,The Outfit,the outfit crime drama mystery grahammoore markrylance zoeydeutch johngumley mason expert cutter must outwit dangerous group mobster order survive fateful night
2877,The Life Aquatic with Steve Zissou,the life aquatic with steve zissou action adventure comedy wesanderson billmurray owenwilson anjelicahuston plan exact revenge mythical shark kill partner   Oceanographer Steve Zissou   Bill Murray   rally crew include estranged wife   journalist   man may may son
2878,A Bug's Life,a bug s life animation adventure comedy johnlasseter andrewstanton kevinspacey davidfoley misfit ant   look   warrior   save colony greedy grasshopper   recruit group bug turn inept circus troupe
2879,Hostiles,hostiles drama western scottcooper scottshepherd rosamundpike avacooper    legendary Army Captain reluctantly agree escort Cheyenne chief family dangerous territory
2880,GoldenEye,goldeneye action adventure thriller martincampbell piercebrosnan seanbean izabellascorupco year friend fellow   agent kill joint mission   russian crime syndicate steal secret spacebased weapon program know   GoldenEye   James Bond stop use
2881,Heathers,heathers comedy crime michaellehmann winonaryder christianslater shannendoherty Westerburg high clique rule   jock dominate popular girl name Heather   s go take Veronica mysterious new kid give teen angst body count
2882,Caddyshack,caddyshack comedy sport haroldramis chevychase rodneydangerfield billmurray exclusive golf course deal brash new member destructive dancing gopher
2883,The Darjeeling Limited,the darjeeling limited adventure comedy drama wesanderson owenwilson adrienbrody jasonschwartzman year father s funeral   three brother travel across India train attempt bond
2884,Fantastic Beasts and Where to Find Them,fantastic beasts and where to find them adventure family fantasy davidyates eddieredmayne katherinewaterston alisonsudol adventure writer Newt Scamander New York s secret community witch wizard seventy year Harry Potter read book school
2885,Notting Hill,notting hill comedy drama romance rogermichell hughgrant juliaroberts richardmccabe life simple bookshop owner change meet famous film star world
2886,West Side Story,west side story crime drama musical stevenspielberg anselelgort rachelzegler arianadebose adaptation   musical   West Side Story explore forbid love rivalry Jets Sharks   two teenage street gang different ethnic background
2887,Closer,closer drama romance mikenichols natalieportman judelaw cliveowen relationship two couple become complicated deceitful man one couple meet woman
2888,Friday,friday comedy drama fgarygray icecube christucker nialong s Friday   Craig Smokey must come    owe local bully will not Saturday
2889,Sunshine,sunshine sci fi thriller dannyboyle cillianmurphy rosebyrne chrisevans team international astronaut send dangerous mission reignite die Sun nuclear fission bomb  
2890,King Kong,king kong action adventure romance peterjackson naomiwatts jackblack adrienbrody greedy film producer assemble team moviemaker set infamous Skull Island   find cannibalistic native
2891,The Phantom of the Opera,the phantom of the opera drama musical romance joelschumacher gerardbutler emmyrossum patrickwilson young soprano become obsession disfigure murderous musical genius live beneath Paris Opra House
2892,Insomnia,insomnia drama mystery thriller christophernolan alpacino robinwilliams hilaryswank two Los Angeles homicide detective dispatch northern town sun not set investigate methodical murder local teen
2893,Batman v Superman: Dawn of Justice (Ultimate Edition),batman v superman  dawn of justice  ultimate edition  action adventure sci fi zacksnyder amyadams benaffleck henrycavill Batman manipulate Lex Luthor fear Superman   Supermans existence meanwhile divide world frame murder international crisis   hero clash force neutral Wonder Woman reemerge
2894,8 Mile,  mile drama music curtishanson eminem brittanymurphy kimbasinger follow young rapper Detroit area   struggle every aspect life   want make big friend foe make odyssey rap hard may seem
2895,The Virgin Suicides,the virgin suicides drama romance sofiacoppola kirstendunst joshhartnett jameswoods group male friend become obsess five mysterious sister shelter strict   religious parent suburban Detroit mid s
2896,Shame,shame drama stevemcqueen michaelfassbender careymulligan jamesbadgedale sex addict s carefully cultivate private life fall apart sister arrive indefinite stay
2897,Coherence,coherence drama mystery sci fi jameswardbyrkit emilybaldoni maurysterling nicholasbrendon strange thing begin happen group friend gather dinner party evening comet pass overhead
2898,The Founder,the founder biography drama johnleehancock michaelkeaton nickofferman johncarrolllynch story Ray Kroc   salesman turn two brother   innovative fast food eatery   McDonald s   big restaurant business world   combination ambition   persistence   ruthlessness
2899,A Beautiful Day in the Neighborhood,a beautiful day in the neighborhood biography drama marielleheller matthewrhys tomhanks chriscooper base true story reallife friendship Fred Rogers journalist Lloyd Vogel
2900,Natural Born Killers,natural born killers action crime romance oliverstone woodyharrelson juliettelewis tomsizemore two victim traumatize childhood become lover psychopathic serial murderer irresponsibly glorify mass medium
2901,They Live,they live action horror sci fi johncarpenter roddypiper keithdavid megfoster influence decision without we know   numb sense without we feel   control live without we realize   live
2902,"Good Luck to You, Leo Grande",good luck to you  leo grande comedy drama sophiehyde emmathompson darylmccormack isabellalaughland Nancy Stokes   retire school teacher   yearn adventure   sex   plan   involve hire young sex worker name Leo Grande
2903,An American Crime,an american crime biography crime drama tommyohaver elliotpage hayleymcfarland nicksearcy true story suburban housewife Gertrude Baniszewski   keep teenage girl lock basement Indiana home s
2904,Monsters University,monsters university animation adventure comedy danscanlon billycrystal johngoodman stevebuscemi look relationship Mike Wazowski   Billy Crystal   James P   sully   Sullivan   John Goodman   day Monsters University   not necessarily good friend
2905,10 Cloverfield Lane,   cloverfield lane drama horror mystery dantrachtenberg johngoodman maryelizabethwinstead johngallagherjr  young woman hold underground bunker man insist hostile event leave surface Earth uninhabitable
2906,Vice,vice biography comedy drama adammckay christianbale amyadams stevecarell story Dick Cheney   unassume bureaucratic Washington insider   quietly wield immense power Vice President George W Bush   reshape country globe way still feel today
2907,Quills,quills biography drama philipkaufman geoffreyrush katewinslet joaquinphoenix napoleonic era insane asylum   inmate   irrepressible Marquis De Sade   fight battle will tyrannically prudish doctor
2908,Lawless,lawless biography crime drama johnhillcoat tomhardy shialabeouf guypearce Set Depressionera Franklin County   Virginia   trio bootlegging brother threaten new special deputy authority angle cut profit
2909,The Matrix Reloaded,the matrix reloaded action sci fi lanawachowski lillywachowski keanureeves laurencefishburne freedom fighter Neo   Trinity Morpheus continue lead revolt Machine Army   unleash arsenal extraordinary skill weaponry systematic force repression exploitation
2910,Five Feet Apart,five feet apart drama romance justinbaldoni haleylurichardson colesprouse moisesarias pair teenager cystic fibrosis meet hospital fall love   though disease mean must avoid close physical contact
2911,The Birdcage,the birdcage comedy mikenichols robinwilliams nathanlane genehackman gay cabaret owner drag queen companion agree put false straight front son introduce fiance s rightwe moralistic parent
2912,Kynodontas,kynodontas drama thriller yorgoslanthimos christosstergioglou michelevalley angelikipapoulia control   manipulative father locks three adult offspring state perpetual childhood keep prisoner within sprawl family compound
2913,I Am Legend,i am legend action drama horror francislawrence willsmith alicebraga charlietahan year plague kill humanity transform rest monster   sole survivor New York City struggle valiantly find cure
2914,Treasure Planet,treasure planet animation adventure family ronclements johnmusker josephgordon levitt emmathompson science fiction render classic novel   Treasure Island    Jim Hawkins   Joseph GordonLevitt   rebellious teen see world aimless slacker   receive   see full summary
2915,The Young Victoria,the young victoria biography drama history jeanmarcvalle emilyblunt rupertfriend paulbettany dramatization turbulent first year Queen Victoria s rule   endure romance Prince Albert
2916,Major League,major league comedy sport davidsward tomberenger charliesheen corbinbernsen new owner Cleveland Indians put together purposely horrible team ll lose move team   plot uncover   start win spite
2917,The Bank Job,the bank job crime drama thriller rogerdonaldson jasonstatham saffronburrows stephencampbellmoore Martine offer Terry lead foolproof bank hit London s Baker Street   target roomful safe deposit box worth million cash jewelry along treasure trove dirty secret
2918,Silence,silence drama history martinscorsese andrewgarfield adamdriver liamneeson th century   two portuguese Jesuit priest travel Japan attempt locate mentor   rumor committed apostasy   propagate Catholicism
2919,Bridge to Terabithia,bridge to terabithia drama family fantasy gaborcsupo joshhutcherson annasophiarobb zooeydeschanel preteen s life turn upside befriend new girl school imagine whole new fantasy world escape reality
2920,The Death of Stalin,the death of stalin comedy drama history armandoiannucci stevebuscemi simonrussellbeale jeffreytambor Moscow     power nearly   year   soviet dictator Joseph Vissarionovich Stalin take ill quickly die   member Council Ministers scramble power
2921,Enter the Void,enter the void drama fantasy gasparno nathanielbrown pazdelahuerta cyrilroy american drug dealer live Tokyo betray good friend kill drug deal   soul   observe repercussion death   seek resurrection
2922,The Witcher: Nightmare of the Wolf,the witcher  nightmare of the wolf animation action adventure kwangilhan theojames marymcdonnell larapulver escape poverty become witcher   Vesemir slay monster coin glory   new menace rise   must face demon past
2923,Red Dragon,red dragon crime drama thriller brettratner anthonyhopkins edwardnorton ralphfiennes retire FBI agent psychological gift assign help track   Tooth Fairy    mysterious serial killer   Aiding imprison forensic psychiatrist Dr Hannibal   Cannibal   Lecter
2924,The Parent Trap,the parent trap comedy family romance davidswift hayleymills maureeno hara briankeith teenage twin sister swap place scheme reunite divorce parent
2925,Rango,rango animation action adventure goreverbinski johnnydepp islafisher timothyolyphant Rango ordinary chameleon accidentally wind town Dirt   lawless outpost Wild West desperate need new sheriff
2926,Chicago,chicago comedy crime musical robmarshall ren ezellweger catherinezeta jones richardgere two deathrow murderess develop fierce rivalry compete publicity   celebrity   sleazy lawyer s attention
2927,Strange Days,strange days crime drama sci fi kathrynbigelow ralphfiennes angelabassett juliettelewis former cop turn streethustler accidentally uncover conspiracy Los Angeles  
2928,August: Osage County,august  osage county comedy drama johnwells merylstreep dermotmulroney juliaroberts look live strongwille woman Weston family   whose path diverge family crisis bring back Oklahoma house grow   dysfunctional woman raise
2929,Top Secret!,top secret  comedy crime music jimabrahams davidzucker jerryzucker valkilmer american rock roll singer   Val Kilmer   become involve Resistance plot rescue scientist   Michael Gough   imprison East Germany
2930,RocknRolla,rocknrolla action crime thriller guyritchie gerardbutler tomwilkinson idriselba russian mobster orchestrate crook land deal   million dollar grab   draw entire London underworld feeding frenzy time old criminal regime lose turf wealthy foreign mob
2931,Dr. No,dr  no action adventure thriller terenceyoung seanconnery ursulaandress bernardlee resourceful british government agent seek answer case involve disappearance colleague disruption american space program
2932,Willow,willow action adventure drama ronhoward valkilmer joannewhalley warwickdavis young farmer choose undertake perilous journey order protect special baby evil queen
2933,Manhunter,manhunter crime mystery thriller michaelmann williampetersen kimgreist joanallen former FBI profiler Graham return service pursue derange serial killer dub   Tooth Fairy   medium
2934,Carol,carol drama toddhaynes cateblanchett rooneymara sarahpaulson aspire photographer develop intimate relationship old woman s New York
2935,The Prince of Egypt,the prince of egypt animation adventure drama brendachapman stevehickner simonwells valkilmer Egyptian Prince Moses learn identity Hebrew destiny become choose deliverer people
2936,In the Line of Fire,in the line of fire action crime drama wolfgangpetersen clinteastwood johnmalkovich renerusso Secret Service agent Frank Horrigan could not save Kennedy   s determine let clever assassin take president
2937,The Courier,the courier drama history thriller dominiccooke benedictcumberbatch merabninidze rachelbrosnahan Businessman Greville Wynne ask russian source try help put end cuban Missile Crisis
2938,Mask,mask biography drama peterbogdanovich cher ericstoltz samelliott teenager massive facial skull deformity biker gang mother attempt live normal life possible circumstance
2939,Palmer,palmer drama fisherstevens justintimberlake junotemple alishawainwright exconvict strike friendship boy trouble home
2940,The Rainmaker,the rainmaker crime drama thriller francisfordcoppola mattdamon dannydevito clairedanes underdog lawyer take fraudulent insurance company
2941,Wild at Heart,wild at heart comedy crime drama davidlynch nicolascage lauradern willemdafoe young lover Sailor Lula run variety weirdo Lula s mom hire kill Sailor
2942,Ronin,ronin action crime thriller johnfrankenheimer robertdeniro jeanreno nataschamcelhone freelance former US Intelligence Agent try track mysterious package want Irish Russians
2943,Till,till biography crime drama chinonyechukwu danielledeadwyler jalynhall frankiefaison    Emmett Till murder brutal lynching   mother vow expose racism behind attack work involve bring justice
2944,The Post,the post biography drama history stevenspielberg merylstreep tomhanks sarahpaulson coverup span four US Presidents push country s first female newspaper publisher editor join unprecedented battle press government
2945,Steve Jobs,steve jobs biography drama dannyboyle michaelfassbender katewinslet sethrogen Steve Jobs take we behind scene digital revolution   paint portrait man epicenter   story unfold backstage three iconic product launch   end   unveil iMac
2946,The Doors,the doors biography drama music oliverstone valkilmer megryan kylemaclachlan story famous influential s rock band door lead singer composer   Jim Morrison   day UCLA film student Los Angeles   untimely death Paris   France age   
